A,B,C,D
1.0,36.0,23.28000001192093,715.019999999106
2.0,4.0,32.10999999523163,75.2600000011921
3.0,13.0,41.34000001430511,255.29000000238418
4.0,37.0,50.34000001430511,735.1899999934435
5.0,1.0,59.29000000238418,15.250000010728836
6.0,35.0,68.2600000011921,695.2900000023842
7.0,23.0,77.31000001311303,455.31000001311304
8.0,27.0,86.12000000059605,535.1099999952316
9.0,7.0,95.08000000149012,135.3400000143051
10.0,22.0,104.05999999821186,435.01999999910595
11.0,33.0,113.12000000059605,655.3699999856949
12.0,14.0,122.21999999463559,275.2399999904633
13.0,17.0,131.03000000074505,335.35999999523165
14.0,22.0,140.26999999165534,435.0999999973178
15.0,5.0,149.35000000476836,95.21999999463559
16.0,9.0,158.35000000476836,175.12000000059604
17.0,25.0,167.310000013113,495.1999999988079
18.0,19.0,176.28000001192092,375.2600000011921
19.0,20.0,185.00999999932944,394.999999999553
20.0,19.0,194.36999998569488,375.3699999856949
21.0,4.0,203.35999999523162,75.26999999165535
22.0,34.0,212.09999999731778,675.0800000014901
23.0,15.0,220.98999999977647,295.18000000298025
24.0,15.0,230.35000000476836,295.08000000149013
25.0,16.0,239.1399999964237,315.1300000059605
26.0,8.0,248.18000000298022,155.09999999731778
27.0,1.0,257.18000000298025,15.310000013113022
28.0,25.0,266.31000001311304,495.0599999982119
29.0,28.0,275.29999999284746,555.1399999964237
30.0,14.0,284.00999999932947,275.16999999761583
31.0,3.0,293.0300000007451,55.35000000476837
32.0,27.0,302.35999999523165,535.089999999404
33.0,36.0,311.3699999856949,715.3400000143051
34.0,22.0,320.15000000178816,435.1999999988079
35.0,28.0,329.34000001430513,555.2699999916554
36.0,37.0,338.25000001072885,734.999999999553
37.0,8.0,347.0999999973178,155.08999999940394
38.0,25.0,355.98,495.16999999761583
39.0,29.0,365.10999999523165,575.1300000059605
40.0,19.0,374.29999999284746,374.98
41.0,16.0,383.1300000059605,315.0300000007451
42.0,12.0,392.29999999284746,234.98
43.0,14.0,401.10999999523165,275.12000000059606
44.0,24.0,410.089999999404,475.34000001430513
45.0,22.0,419.0399999986589,435.31000001311304
46.0,24.0,427.98,474.98
47.0,24.0,437.0399999986589,475.21000000417234
48.0,7.0,446.21000000417234,135.32000000357627
49.0,17.0,455.0999999973178,335.35999999523165
50.0,14.0,464.1600000071526,275.29999999284746
51.0,23.0,473.2900000023842,455.3500000047684
52.0,25.0,482.15000000178816,495.3699999856949
53.0,16.0,491.23,315.16999999761583
54.0,28.0,500.32999999403955,554.9899999997765
55.0,2.0,509.2199999946356,35.030000000745055
56.0,34.0,518.3699999856949,674.999999999553
57.0,11.0,527.2600000011921,215.05999999821185
58.0,25.0,537.0,495.28000001192095
59.0,39.0,544.9899999997765,775.23
60.0,32.0,554.2900000023842,635.2100000041723
61.0,38.0,563.2399999904633,755.0300000007451
62.0,9.0,572.3500000047684,175.26999999165534
63.0,16.0,581.089999999404,315.1600000071526
64.0,11.0,590.1600000071526,215.29999999284743
65.0,12.0,599.0700000035763,235.03999999865889
66.0,3.0,608.1099999952316,55.34000001430511
67.0,0.0,617.0800000014901,-4.640000004768371
68.0,28.0,626.2699999916554,555.2199999946356
69.0,15.0,635.3200000035763,295.15000000178816
70.0,22.0,644.1699999976158,435.23
71.0,0.0,653.3500000047684,-4.9199999985098835
72.0,20.0,662.2600000011921,395.1600000071526
73.0,0.0,671.2600000011921,-4.890000004768371
74.0,6.0,680.2399999904633,115.0999999973178
75.0,6.0,689.0700000035763,114.98999999977649
76.0,35.0,698.3400000143051,695.2500000107289
77.0,0.0,707.3500000047684,-4.9199999985098835
78.0,22.0,716.2199999946356,435.1300000059605
79.0,7.0,725.089999999404,135.16000000715255
80.0,13.0,733.9899999997765,254.98
81.0,28.0,742.9899999997765,555.1699999976158
82.0,3.0,752.1099999952316,55.320000003576276
83.0,26.0,761.0399999986589,515.0800000014901
84.0,7.0,770.2699999916554,135.050000000298
85.0,19.0,779.1200000005961,375.25000001072885
86.0,18.0,787.98,355.1999999988079
87.0,30.0,797.0300000007451,595.0999999973178
88.0,37.0,806.3500000047684,735.0599999982119
89.0,4.0,815.2100000041723,75.13000000596047
90.0,7.0,824.0700000035763,135.26000000119208
91.0,11.0,833.2699999916554,215.1399999964237
92.0,12.0,842.1899999934435,235.12000000059604
93.0,3.0,851.23,55.08999999940395
94.0,34.0,860.310000013113,675.310000013113
95.0,29.0,869.23,575.2999999928475
96.0,39.0,878.1699999976158,775.050000000298
97.0,11.0,887.3500000047684,215.29999999284743
98.0,30.0,896.3599999952316,595.0599999982119
99.0,28.0,905.3200000035763,555.1999999988079
100.0,32.0,914.2999999928475,635.3500000047684
